option,steps,analytical_price,tree_price,abs_error
SPXW261016C07625000,100,136.14999999999992,135.82985643202912,0.3201435679708027
SPXW261016C07625000,200,136.14999999999992,135.99402673449944,0.15597326550047796
SPXW261016C07625000,400,136.14999999999992,136.07493576320238,0.07506423679754448
SPXW261016C07625000,800,136.14999999999992,136.11452280348956,0.035477196510356634
SPXW261106P07640000,100,176.15000000000327,175.78718180064672,0.36281819935655335
SPXW261106P07640000,200,176.15000000000327,175.98444634165608,0.16555365834719282
SPXW261106P07640000,400,176.15000000000327,176.07821340443434,0.07178659556893763
SPXW261106P07640000,800,176.15000000000327,176.1216147388393,0.028385261163975883
SPXW261218C07670000,100,236.70000000000556,236.15354005684236,0.5464599431631996
SPXW261218C07670000,200,236.70000000000556,236.43601492494975,0.2639850750558139
SPXW261218C07670000,400,236.70000000000556,236.57455837633867,0.12544162366688738
SPXW261218C07670000,800,236.70000000000556,236.64186372796254,0.05813627204301497
SPXW261231P07680000,100,250.10000000001594,249.53090909346355,0.5690909065523897
SPXW261231P07680000,200,250.10000000001594,249.82695246617263,0.27304753384331093
SPXW261231P07680000,400,250.10000000001594,249.97159246445102,0.1284075355649179
SPXW261231P07680000,800,250.10000000001594,250.04145703136052,0.058542968655416416
